client_id,idade,sexo,cidade,estado,perfil_investidor,saldo_inicial,saldo_6_meses,saldo_12_meses,logins_mes,tempo_app_min_mes,contato_assessor,ativos_carteira,assessor_principal,perfil_assessor,tempo_casa_assessor_anos,qtd_clientes_assessor,tempo_resposta_horas,dias_sem_login,abriu_email_marketing,clicou_oferta,lucro_12_meses,churn,variacao_saldo_12m_perc,score_engajamento,interacao_assessor,cliente_vip,risco_inativo,teve_lucro,churn_probability,risk_segment,processed_at
1,56,Masculino,Rio de Janeiro,MG,Conservador,132675.17,106974.94,133675.85,59,449,5,FIIs,Juliana Mendes,Agressivo,8.2,405,22.6,16,1,1,1000.679999999993,0,0.7542330641068656,1558.2941176470588,0.22123893805309733,0,0,1,0.00023747854,Baixo,2026-05-11T20:10:58.511270
2,69,Feminino,Porto Alegre,RJ,Conservador,97313.88,110279.95,82797.07,48,449,9,FIIs,Rafael Gomes,Moderado,3.7,120,30.7,47,1,0,-14516.81,1,-14.917512280879148,449.0,0.2931596091205212,0,1,0,0.99877554,Alto,2026-05-11T20:10:58.511270
3,46,Masculino,São Paulo,SP,Moderado,2057.38,1489.9,3009.92,28,330,4,Cripto,Bruno Martins,Conservador,4.2,312,14.7,38,0,1,952.54,0,46.29869056761512,236.92307692307693,0.272108843537415,0,1,1,0.011656317,Baixo,2026-05-11T20:10:58.511270
4,32,Feminino,Curitiba,RJ,Agressivo,161094.43,151952.92,117362.59,12,363,6,Renda Fixa,Patrícia Rocha,Agressivo,7.7,355,9.2,57,0,1,-43731.84,1,-27.146711403988334,75.10344827586206,0.6521739130434783,0,1,0,0.99631906,Alto,2026-05-11T20:10:58.511270
5,60,Masculino,Belo Horizonte,MG,Moderado,154789.11,156301.4,173649.64,20,149,5,Ações,Carlos Silva,Agressivo,1.2,95,29.8,21,1,0,18860.53000000003,0,12.184662086370308,135.45454545454547,0.16778523489932887,0,0,1,0.00010905507,Baixo,2026-05-11T20:10:58.511270
6,25,Masculino,Belo Horizonte,RS,Moderado,110135.41,115464.55,94088.16,57,279,9,"FIIs, Fundos",Lucas Oliveira,Conservador,8.7,273,11.6,34,1,1,-16047.25,1,-14.570472838844474,454.37142857142857,0.7758620689655172,0,1,0,0.99410844,Alto,2026-05-11T20:10:58.511270
7,38,Feminino,Rio de Janeiro,RJ,Conservador,14226.2,17947.24,12108.02,20,513,1,Cripto,Ana Souza,Conservador,4.6,377,4.3,29,0,0,-2118.18,0,-14.88928877704517,342.0,0.23255813953488372,0,0,0,0.0003926406,Baixo,2026-05-11T20:10:58.511270
8,56,Masculino,Belo Horizonte,RS,Conservador,153536.49,169404.55,148081.6,4,183,2,"Fundos, Ações",Carlos Silva,Agressivo,6.0,299,0.5,52,1,0,-5454.889999999985,1,-3.552829688890234,13.81132075471698,4.0,0,1,0,0.9859108,Alto,2026-05-11T20:10:58.511270
9,36,Masculino,Porto Alegre,RS,Agressivo,117159.0,115842.93,175611.22,9,481,1,FIIs,João Pereira,Conservador,7.7,125,29.4,50,1,1,58452.22,0,49.891361312404506,84.88235294117646,0.034013605442176874,0,1,1,0.0003735224,Baixo,2026-05-11T20:10:58.511270
10,40,Masculino,Porto Alegre,PR,Conservador,156610.04,185708.97,101713.47,5,418,2,FIIs,Bruno Martins,Conservador,3.0,123,17.7,39,0,0,-54896.57000000001,1,-35.05303363692392,52.25,0.11299435028248588,0,1,0,0.99772435,Alto,2026-05-11T20:10:58.511270
11,28,Masculino,Rio de Janeiro,RJ,Conservador,150597.65,191307.16,168772.92,55,157,0,Exterior,Carlos Silva,Comercial,9.0,191,36.2,36,0,0,18175.27000000002,1,12.068760701113211,233.3783783783784,0.0,0,1,1,0.78923,Alto,2026-05-11T20:10:58.511270
12,28,Masculino,Porto Alegre,RJ,Moderado,160797.41,114687.09,108428.1,50,108,7,"Renda Fixa, FIIs, Exterior",Ana Souza,Moderado,9.8,122,18.3,25,0,1,-52369.31,0,-32.568503435472,207.69230769230768,0.3825136612021858,0,0,0,0.0034888429,Baixo,2026-05-11T20:10:58.511270
13,41,Masculino,São Paulo,RS,Conservador,104083.61,134217.14,76924.94,56,79,5,"Ações, Exterior",Ana Souza,Agressivo,5.2,151,23.6,57,0,0,-27158.67,1,-26.093128399370464,76.27586206896552,0.211864406779661,0,1,0,0.9997651,Alto,2026-05-11T20:10:58.511270
14,70,Feminino,Rio de Janeiro,MG,Agressivo,28924.58,21742.01,28797.5,12,132,1,Cripto,Mariana Costa,Conservador,9.4,143,19.8,5,1,1,-127.0800000000017,0,-0.4393495082729006,264.0,0.050505050505050504,0,0,0,0.0001225393,Baixo,2026-05-11T20:10:58.511270
15,53,Masculino,São Paulo,PR,Moderado,134560.34,159942.74,142555.12,0,572,7,Exterior,João Pereira,Agressivo,0.5,118,31.4,33,1,1,7994.779999999999,1,5.941408887641039,0.0,0.2229299363057325,0,1,1,0.012935855,Baixo,2026-05-11T20:10:58.511270
16,57,Masculino,Curitiba,RS,Agressivo,124474.28,108068.68,103676.27,19,349,5,"FIIs, Fundos, Exterior",João Pereira,Moderado,9.0,114,17.4,55,1,1,-20798.00999999999,1,-16.708680700944804,118.41071428571429,0.2873563218390805,0,1,0,0.986081,Alto,2026-05-11T20:10:58.511270
17,41,Feminino,São Paulo,SP,Moderado,148708.38,115889.6,131578.87,56,535,6,Exterior,Juliana Mendes,Agressivo,3.5,242,46.3,31,1,1,-17129.51000000001,0,-11.51885993243959,936.25,0.12958963282937366,0,1,0,0.0017786828,Baixo,2026-05-11T20:10:58.511270
18,20,Feminino,Curitiba,SP,Conservador,34806.32,33550.28,23608.09,46,163,0,"Ações, FIIs, Fundos",Lucas Oliveira,Agressivo,3.5,490,45.0,24,0,0,-11198.23,0,-32.17297893026324,299.92,0.0,0,0,0,0.0007585862,Baixo,2026-05-11T20:10:58.511270
19,39,Feminino,Curitiba,PR,Moderado,39800.06,43237.75,34741.39,45,542,6,"FIIs, Cripto, Exterior",João Pereira,Agressivo,2.7,111,40.8,50,0,1,-5058.669999999998,1,-12.710206969537227,478.2352941176471,0.14705882352941177,0,1,0,0.98003525,Alto,2026-05-11T20:10:58.511270
20,70,Feminino,São Paulo,MG,Moderado,178191.49,165463.47,261924.13,7,430,2,Renda Fixa,Bruno Martins,Comercial,3.5,69,44.2,12,1,0,83732.64000000001,0,46.99025750331849,231.53846153846155,0.04524886877828054,1,0,1,0.0002678,Baixo,2026-05-11T20:10:58.511270
21,19,Feminino,Rio de Janeiro,RS,Conservador,150245.58,110090.83,217891.65,9,27,7,"Cripto, Ações, Exterior",Lucas Oliveira,Moderado,2.5,290,21.8,37,1,0,67646.07,0,45.02366725197508,6.394736842105263,0.3211009174311926,1,1,1,0.0005874377,Baixo,2026-05-11T20:10:58.511270
22,41,Feminino,Porto Alegre,RJ,Conservador,181737.47,192582.96,163816.42,8,51,5,"Renda Fixa, Fundos",Mariana Costa,Moderado,9.1,252,26.0,37,1,1,-17921.04999999999,1,-9.860954925805883,10.736842105263158,0.19230769230769232,0,1,0,0.9963148,Alto,2026-05-11T20:10:58.511270
23,61,Feminino,Porto Alegre,PR,Agressivo,151984.35,188679.75,169275.39,48,529,3,"Cripto, Renda Fixa, Fundos",João Pereira,Agressivo,9.0,459,35.7,1,0,1,17291.04000000001,0,11.376855577564406,12696.0,0.08403361344537814,0,0,1,0.0008501634,Baixo,2026-05-11T20:10:58.511270
24,47,Masculino,Curitiba,MG,Agressivo,119833.91,111437.05,170000.68,40,148,7,"Cripto, Renda Fixa, FIIs",Mariana Costa,Agressivo,1.5,349,33.6,57,0,1,50166.76999999999,0,41.863584356047454,102.06896551724138,0.20833333333333331,0,1,1,0.00017816781,Baixo,2026-05-11T20:10:58.511270
25,55,Masculino,Curitiba,RJ,Conservador,131172.41,108846.82,79433.48,2,589,8,"Fundos, Ações, Renda Fixa",Ana Souza,Moderado,1.9,244,42.8,55,0,0,-51738.93000000001,1,-39.44345461061515,21.035714285714285,0.1869158878504673,0,1,0,0.99866927,Alto,2026-05-11T20:10:58.511270
26,19,Feminino,Rio de Janeiro,SP,Conservador,177936.46,171805.91,236587.02,10,593,9,"Renda Fixa, FIIs, Cripto",Carlos Silva,Conservador,8.7,111,34.5,4,1,1,58650.56,0,32.96151896019512,1186.0,0.2608695652173913,1,0,1,0.0006645157,Baixo,2026-05-11T20:10:58.511270
27,38,Masculino,Belo Horizonte,SP,Conservador,116182.54,84699.12,168875.11,11,423,1,"Fundos, FIIs, Exterior",João Pereira,Comercial,4.3,156,47.9,10,1,0,52692.56999999999,0,45.35326048130812,423.0,0.020876826722338204,0,0,1,0.00015910278,Baixo,2026-05-11T20:10:58.511270
