Feature,Importance
variacao_saldo_12m_perc,0.26448104
dias_sem_login,0.2639598
perfil_investidor,0.06375761
lucro_12_meses,0.040676698
saldo_12_meses,0.032492675
saldo_inicial,0.03226614
saldo_6_meses,0.031956423
tempo_app_min_mes,0.029897213
contato_assessor,0.029443387
qtd_clientes_assessor,0.024610996
idade,0.02458188
interacao_assessor,0.021987505
tempo_casa_assessor_anos,0.0207795
logins_mes,0.018643193
sexo,0.01668355
tempo_resposta_horas,0.016318668
abriu_email_marketing,0.013508955
assessor_principal,0.013249053
score_engajamento,0.012521302
estado,0.007491033
perfil_assessor,0.007286994
cidade,0.0052650156
ativos_carteira,0.0049821795
clicou_oferta,0.0031592415
cliente_vip,0.0
risco_inativo,0.0
teve_lucro,0.0
